delay,freq,condition,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,Fixation.started,Fixation.stopped,Polygon.started,Polygon.stopped,key_Resp.keys,key_Resp.rt,key_Resp.started,key_Resp.stopped,Sound_1.started,Sound_1.stopped,display_text.started,display_text.stopped,slider.response,slider.rt,slider.started,slider.stopped,participant,session,date,expName,psychopyVersion,frameRate
0.4,400,exp,0,0,0,7,16.3248836,21.3388648,23.3046356,None,space,0.6200357,23.3046356,None,24.33872572,None,24.7646341,None,1.972656161,4.2646509,24.7646341,None,763336,1,2023-10-27_14h43.33.657,Intentional Binding,2022.1.4,60.12263816
0.1,400,exp,0,1,1,6,28.9836831,33.9874573,35.9706937,None,space,0.398925,35.9706937,None,36.47182892,None,36.8608122,None,3.085937589,2.1866536,36.8608122,None,763336,1,2023-10-27_14h43.33.657,Intentional Binding,2022.1.4,60.12263816
0.4,1000,unexp,0,2,2,4,39.033482,44.0371714,46.0036289,None,space,0.5223433,46.0036289,None,46.93768032,None,47.3310059,None,3.999999955,2.7080553,47.3310059,None,763336,1,2023-10-27_14h43.33.657,Intentional Binding,2022.1.4,60.12263816
0.1,1000,unexp,0,3,3,3,50.001206,55.0031333,56.986343,None,space,0.3751561,56.986343,None,57.47052772,None,57.8628014,None,1,1.6844669,57.8628014,None,763336,1,2023-10-27_14h43.33.657,Intentional Binding,2022.1.4,60.12263816
0.7,1000,unexp,0,4,4,2,59.5180098,64.5195741,66.5027349,None,space,0.2653902,66.5027349,None,67.46962322,None,67.8651052,None,2.007812411,1.6259911,67.8651052,None,763336,1,2023-10-27_14h43.33.657,Intentional Binding,2022.1.4,60.12263816
0.7,400,exp,0,5,5,8,69.482511,74.4857595,76.4686986,None,space,0.3776518,76.4686986,None,77.55235722,None,77.9380521,None,2.101562589,6.3086686,77.9380521,None,763336,1,2023-10-27_14h43.33.657,Intentional Binding,2022.1.4,60.12263816
0.4,1000,unexp,0,6,6,1,84.2328739,89.2355128,91.218068,None,space,0.9650965,91.218068,None,92.58576642,None,92.9740899,None,1,2.4852619,92.9740899,None,763336,1,2023-10-27_14h43.33.657,Intentional Binding,2022.1.4,60.12263816
0.7,400,exp,0,7,7,5,95.4474551,100.4508628,102.4352044,None,space,0.418642,102.4352044,None,103.5681189,None,103.9553269,None,1.140625,2.0304294,103.9553269,None,763336,1,2023-10-27_14h43.33.657,Intentional Binding,2022.1.4,60.12263816
0.1,1000,unexp,0,8,8,0,105.9480685,110.9506938,112.9336366,None,space,0.8370094,112.9336366,None,113.8846562,None,114.2770329,None,1.117187589,1.1419641,114.2770329,None,763336,1,2023-10-27_14h43.33.657,Intentional Binding,2022.1.4,60.12263816
0.1,400,exp,0,9,9,9,115.3981928,120.4001645,122.3842466,None,space,0.4089642,122.3842466,None,122.9006638,None,123.2972263,None,1.117187589,1.2045351,123.2972263,None,763336,1,2023-10-27_14h43.33.657,Intentional Binding,2022.1.4,60.12263816
